# 【完全版・マーフィーの法則】永久保存版 ～潜在意識と成功・お金・健康・幸せ～
- [Youtube](https://www.youtube.com/watch?v=QYP-iNf4VJc&t=13s)
- [Youtube](https://www.youtube.com/watch?v=puUOk2wZTcU)

  - RADIO引き寄せ	チャンネル登録者数 9360人
```
	いつもご視聴頂きありがとうございます。
	引き寄せの法則に関する情報を発信し続ける『引き寄せRADIO』です。
	
	人生は選択の連続です。
	今日学校へ行くのも、会社へ行くのも、バイトをサボるのも、
	煙草を吸うのも、右へ曲がるのも、電車に乗るのも、それもすべて選択なのです。
	
	是非この音声動画を聞いて、潜在意識をすべて書き換え、
	日常生活すべてにおいて、人生が思い通りに進むような選択をし続けられるようになりましょう。
	
	この音声動画が皆様のお役に立つことを切に願っております。
```

- 【マーフィーの法則】潜在意識と成功・お金・愛・幸せ（Murphy's law①）
  - [Youtube](https://www.youtube.com/watch?v=puUOk2wZTcU)



--------------------------------------------------------------------------------
## ■文字起こし
```
　　00:01	[音楽]
　　00:11	それでは、まず始めに、あなたの中には無限の富が秘められているということについてお話ししていきましょう。
　　00:14	
　　00:20	知性や愛や可能性これらのものがあなたの中に無限に潜んでいます。
　　00:26	ですから、もしあなたがこれらの宝を自分の中で見え出すことができたら人生はあなたの思いのまま
　　00:27	
　　00:33	
　　00:34	望み通りのものになります。
　　00:36	素晴らしいことだと思いませんか。
　　00:38	あなたの欲しいものは何でも手に入るのです。
　　00:42	ところが、人には２つのタイプがあるのですね。
　　00:44	
　　00:47	例えば、「磁気を帯びた鉄と、そうでない鉄」といったように。
　　00:51	鉄に磁気を帯びさせればそれは自分の重さの約12倍のものを持ち上げることができます。
　　00:57	しかし、そのですも一旦磁気なくしてしまえば、
　　01:00	チリ一つ持ち上げることのできないただの金属の塊にしか過ぎなくなってしまいます。
　　01:07	つまり、磁気を帯びた鉄のような人というのは、
　　01:08	自分の無限の能力、無限の可能性を信じ、その活かし方を知っている人ということができます。
　　01:13	
　　01:19	彼らは自分の求めるものは必ず手に入る自分のすることは必ず成功すると信じ、
　　01:20	
　　01:26	そしてそれを身を以て体験してきています。
　　01:29	ところが、磁気を帯びていない鉄のような人はというと、
　　01:30	
　　01:34	本当に自分にできるんだろう、
　　01:37	夢のようなことを考えているんじゃないだろう、
　　01:40	そんなことをすれば生活していけなくなるかもしれない、人は私をどう思うだろう、
　　01:45	そんなマイナス思考の思いが恐怖と不安を駆り立て、
　　01:49	自信をなくしていきます。残るは無力感だけ、とこうなるわけです。
　　01:56	しかも、その無力感が、人を力を無くした鉄にしてしまう一番大きな原因なんです。
　　01:58	
　　02:03	ですから、どうかあなたは磁気を帯びた鉄になってください。
　　02:05	
　　02:09	そしてあなたの望み通りの人生を作り上げてください。
　　02:13	それにはまず、あなたの中の驚異的な力を見つけることです。
　　02:15	

　　02:19	驚異的な力、時代と宇宙を超越した心理。
　　02:22	
　　02:25	では、驚異的な力とは一体なんのことでしょうか。
　　02:26	
　　02:29	ブラックホールや宇宙空間のエネルギーのことでしょうか。
　　02:33	また素粒子は超電導に秘められた謎のことでしょうか。
　　02:37	世の中で明らかにされていないことはたくさんあります。でも、私のいう驚異的な力とは
　　02:44	そういったことではありません。
　　02:45	もっと身近でもっと簡単なものです。
　　02:48	言うならば、潜在意識が引き起こす奇跡の力、いわゆる願望実現の力です。
　　02:51	
　　02:55	ところが、残念なことに、その潜在意識の力を知る人はごくわずかしかいません。
　　03:03	あなたの中に秘められた驚異の力、
　　03:07	もしあなたが潜在意識に秘められた驚異の力をうまく利用し、
　　03:12	引き出すことができたなら、あなたは今よりももっと大きな力や富、
　　03:17	健康、そして幸せを得ることができるでしょう。
　　03:21	そして素晴らしいことに、あなたはその驚異の力を得ようと努力する必要がないのです。
　　03:27	なぜなら、あなたにはその力がすでに備わっているからです。
　　03:29	
　　03:33	だからあなたは自分の人生において潜在意識の利用法を学びさえすればいいわけです。

　　03:40	[音楽]
　　03:41	このプログラムではそのテクニックと手順を詳しく紹介していきますから、
　　03:43	
　　03:46	それに従えば必ず簡単にマスターできます。
　　03:51	そして、あなたは一つの願望を実現した後も、次々に新しい願望を実現させる
　　03:53	
　　03:58	潜在意識を開発していくことになります。
　　04:01	そうやって、あなたの人生はあなたの望み通りになっていくのです。
　　04:02	
　　04:07	潜在意識は、常にあなたが望んだ通りの良い結果を与えてくれます。
　　04:09	
　　04:13	あなたが望めば理想通りのパートナーや協力者を得ることもできるし、あなたの不動産を
　　04:20	処分したいと思えばぜひ買いたいという人が現れてきます。
　　04:24	また、あなたが十分に人生を謳歌できるような、金銭的自由が欲しいと思えば、
　　04:32	それも手に入れることができるのです。
　　04:35	あなたに何が障害が起きたとしても、あなたの潜在意識はその問題を見事にクリアするでしょう。
　　04:39	
　　04:44	数々の問題があなたに訪れても、必ずあなたの望んだようにものごとはすすみます。
　　04:50	
　　04:51	その時、改めてこの不思議で偉大な力を知ることになるでしょう。
